instruction,input,output
What is the main point about Chambers?,,"Chambers catching his breath, listening."
What is the main point about door?,,The door to the office wide open.
Who or what is INT?,,283 INT.
What is the main point about INT?,,283 INT.
Who or what is MEHRABAD AIRPORT - KOMITEH STATION?,,MEHRABAD AIRPORT - KOMITEH STATION - MORNING 283 AZIZI May I speak to Mr. Kevin Harkins -- (CONTINUED) ARGO - Final 108.
Who or what is Kevin Harkins?,,MEHRABAD AIRPORT - KOMITEH STATION - MORNING 283 AZIZI May I speak to Mr. Kevin Harkins -- (CONTINUED) ARGO - Final 108.
What is the main point about MEHRABAD?,,MEHRABAD AIRPORT - KOMITEH STATION - MORNING 283 AZIZI May I speak to Mr. Kevin Harkins -- (CONTINUED) ARGO - Final 108.
Who or what is V.O.?,,283 CONTINUED: 283 CHAMBERS (V.O.) He's out of the country on a location scout.
What is the main point about CONTINUED?,,283 CONTINUED: 283 CHAMBERS (V.O.) He's out of the country on a location scout.
What is the main point about message?,,Can I take a message? 284 INT.
What is the main point about ARGO?,,ARGO PRODUCTION OFFICE - NIGHT 284 Chambers listens for a response.
Who or what is Siegel?,,Siegel now catches up.
What is the main point about Siegel?,,Siegel now catches up.
What is the main point about INT?,,285 INT.
Who or what is MEHRABAD AIRPORT - KOMITEH STATION?,,MEHRABAD AIRPORT - KOMITEH STATION - MORNING 285 AZIZI No message.
Who or what is AZIZI?,,MEHRABAD AIRPORT - KOMITEH STATION - MORNING 285 AZIZI No message.
What is the main point about MEHRABAD?,,MEHRABAD AIRPORT - KOMITEH STATION - MORNING 285 AZIZI No message.
What is the main point about INT?,,286 INT.
Who or what is MEHRABAD AIRPORT - MORNING?,,MEHRABAD AIRPORT - MORNING 286 ANNOUNCEMENT (V.O.) Swissair announces final boarding of Flight 363 to Zurich.
Who or what is V.O.) Swissair?,,MEHRABAD AIRPORT - MORNING 286 ANNOUNCEMENT (V.O.) Swissair announces final boarding of Flight 363 to Zurich.
Who or what is Zurich?,,MEHRABAD AIRPORT - MORNING 286 ANNOUNCEMENT (V.O.) Swissair announces final boarding of Flight 363 to Zurich.
What is the main point about MEHRABAD?,,MEHRABAD AIRPORT - MORNING 286 ANNOUNCEMENT (V.O.) Swissair announces final boarding of Flight 363 to Zurich.
What is the main point about passengers?,,All passengers should be at the gate at this time.
Who or what is EXT?,,287 EXT.
What is the main point about EXT?,,287 EXT.
Who or what is Khalkali?,,CANADIAN AMBASSADOR'S RESIDENCE - MORNING 287 Khalkali and Komiteh are forcing the front door of the house open.
Who or what is Komiteh?,,CANADIAN AMBASSADOR'S RESIDENCE - MORNING 287 Khalkali and Komiteh are forcing the front door of the house open.
What is the main point about AMBASSADOR?,,CANADIAN AMBASSADOR'S RESIDENCE - MORNING 287 Khalkali and Komiteh are forcing the front door of the house open.
What is the main point about INT?,,288 INT.
Who or what is MEHRABAD AIRPORT - THIRD CHECKPOINT - MORNING?,,MEHRABAD AIRPORT - THIRD CHECKPOINT - MORNING 288 Azizi comes back into the screened-off area.
What is the main point about MEHRABAD?,,MEHRABAD AIRPORT - THIRD CHECKPOINT - MORNING 288 Azizi comes back into the screened-off area.
Who or what is Mendez?,,"Looks at J Stafford, then at Mendez."
What is the main point about J?,,"Looks at J Stafford, then at Mendez."
Who or what is Farsi?,,Then says something in Farsi to the three Komiteh in the holding area.
Who or what is Komiteh?,,Then says something in Farsi to the three Komiteh in the holding area.
What is the main point about Farsi?,,Then says something in Farsi to the three Komiteh in the holding area.
Who or what is Komiteh?,,"The three young Komiteh look at the drawings, then at J Stafford."
What is the main point about Komiteh?,,"The three young Komiteh look at the drawings, then at J Stafford."
What is the main point about Silence?,,Silence for a moment.
Who or what is MENDEZ?,,MENDEZ (PUSHES THE STORYBOARDS TOWARD THEM) Our gift to you.
What is the main point about MENDEZ?,,MENDEZ (PUSHES THE STORYBOARDS TOWARD THEM) Our gift to you.
What is the main point about film?,,From our film.
Who or what is Komiteh 1?,,"Komiteh 1, who speaks enough English to understand, translates to the others."
What is the main point about Komiteh?,,"Komiteh 1, who speaks enough English to understand, translates to the others."
What is the main point about mission?,,"They forget their revolutionary mission for a second, happy with their gift."
What is the main point about kids?,,They're kids.
Who or what is Komiteh?,,Komiteh 1 motions for the Houseguests to go.
What is the main point about Komiteh?,,Komiteh 1 motions for the Houseguests to go.
What is the main point about ARGO?,,ARGO - Final 109.
Who or what is INT?,,289 INT.
What is the main point about INT?,,289 INT.
Who or what is RESIDENCE - FOYER - MORNING 289?,,"CANADIAN AMBASSADOR'S RESIDENCE - FOYER - MORNING 289 Khalkali and a dozen Komiteh, guns drawn, rush into the residence."
Who or what is Khalkali?,,"CANADIAN AMBASSADOR'S RESIDENCE - FOYER - MORNING 289 Khalkali and a dozen Komiteh, guns drawn, rush into the residence."
Who or what is Komiteh?,,"CANADIAN AMBASSADOR'S RESIDENCE - FOYER - MORNING 289 Khalkali and a dozen Komiteh, guns drawn, rush into the residence."
What is the main point about AMBASSADOR?,,"CANADIAN AMBASSADOR'S RESIDENCE - FOYER - MORNING 289 Khalkali and a dozen Komiteh, guns drawn, rush into the residence."
What is the main point about liquor?,,Empty liquor bottles.
What is the main point about remains?,,The remains of what looks like breakfast for a group of people.
What is the main point about place?,,But the place is empty.
What is the main point about INT.EXT?,,290 INT.EXT.
Who or what is MEHRABAD AIRPORT - FLIGHT GATE - MORNING?,,MEHRABAD AIRPORT - FLIGHT GATE - MORNING 290 A BUSLOAD of passengers about to be ferried to the airplane.
What is the main point about MEHRABAD?,,MEHRABAD AIRPORT - FLIGHT GATE - MORNING 290 A BUSLOAD of passengers about to be ferried to the airplane.
What is the main point about Swissair?,,A Swissair Rep is closing the gate to Flight 363.
What is the main point about Houseguests?,,"She looks up to see the Houseguests and Mendez hurrying through the terminal, headed toward her."
What is the main point about gate?,,"She holds the gate, speaks in German into a walkie, and -- 291 INT."
Who or what is RESIDENCE - KEN'S OFFICE - 291 MORNING?,,CANADIAN AMBASSADOR'S RESIDENCE - KEN'S OFFICE - 291 MORNING The Komiteh search the house.
Who or what is Komiteh?,,CANADIAN AMBASSADOR'S RESIDENCE - KEN'S OFFICE - 291 MORNING The Komiteh search the house.
What is the main point about AMBASSADOR?,,CANADIAN AMBASSADOR'S RESIDENCE - KEN'S OFFICE - 291 MORNING The Komiteh search the house.
Who or what is Khalkali?,,Khalkali gets on the phone.
What is the main point about Khalkali?,,Khalkali gets on the phone.
What is the main point about INT?,,292 OMITTED 292 293 INT.
Who or what is MEHRABAD AIRPORT - FLIGHT GATE - MORNING?,,MEHRABAD AIRPORT - FLIGHT GATE - MORNING 293 Kathy Stafford's ticket is taken and she walks through the door.
Who or what is Kathy Stafford's?,,MEHRABAD AIRPORT - FLIGHT GATE - MORNING 293 Kathy Stafford's ticket is taken and she walks through the door.
What is the main point about MEHRABAD?,,MEHRABAD AIRPORT - FLIGHT GATE - MORNING 293 Kathy Stafford's ticket is taken and she walks through the door.
What is the main point about Hurries?,,Hurries toward the transport bus.
What is the main point about Houseguests?,,The other five Houseguests and Mendez behind her and -- 294 INT.
Who or what is MEHRABAD AIRPORT - KOMITEH STATION?,,MEHRABAD AIRPORT - KOMITEH STATION - MORNING 294 A phone rings and a Young Komiteh picks up the call.
Who or what is Young Komiteh?,,MEHRABAD AIRPORT - KOMITEH STATION - MORNING 294 A phone rings and a Young Komiteh picks up the call.
What is the main point about MEHRABAD?,,MEHRABAD AIRPORT - KOMITEH STATION - MORNING 294 A phone rings and a Young Komiteh picks up the call.
What is the main point about moment?,,He listens for a moment.
Who or what is RUNS?,,Then he drops the phone and RUNS into the airport terminal and -- 295 INT.
What is the main point about phone?,,Then he drops the phone and RUNS into the airport terminal and -- 295 INT.
Who or what is RUNWAY?,,"RUNWAY TRANSPORT BUS - MORNING 295 The Houseguests sit aboard the bus, headed to a waiting DC-10."
What is the main point about RUNWAY?,,"RUNWAY TRANSPORT BUS - MORNING 295 The Houseguests sit aboard the bus, headed to a waiting DC-10."
Who or what is DRIVER?,,The DRIVER puts the bus into gear.
What is the main point about DRIVER?,,The DRIVER puts the bus into gear.
What is the main point about head?,,He shakes his head.
What is the main point about goddamn?,,This goddamn thing.
What is the main point about gears?,,Shifts gears again.
What is the main point about ARGO?,,ARGO - Final 110.
Who or what is INT?,,296 INT.
What is the main point about INT?,,296 INT.
Who or what is MEHRABAD AIRPORT - MORNING?,,"MEHRABAD AIRPORT - MORNING 296 Young Komiteh RUNNING through the terminal, pushing through a crowd, making a woman drop her suitcase,"
Who or what is Komiteh?,,"MEHRABAD AIRPORT - MORNING 296 Young Komiteh RUNNING through the terminal, pushing through a crowd, making a woman drop her suitcase, contents scattering."
What is the main point about MEHRABAD?,,"MEHRABAD AIRPORT - MORNING 296 Young Komiteh RUNNING through the terminal, pushing through a crowd, making a woman drop her suitcase, contents scattering."
What is the main point about weapon?,,An automatic weapon at his side.
Who or what is EXT?,,297 EXT.
What is the main point about EXT?,,297 EXT.
Who or what is SWISSAIR?,,SWISSAIR DC-10 - MORNING 297 The Houseguests head up the stairs to the plane.
Who or what is Houseguests?,,SWISSAIR DC-10 - MORNING 297 The Houseguests head up the stairs to the plane.
What is the main point about SWISSAIR?,,SWISSAIR DC-10 - MORNING 297 The Houseguests head up the stairs to the plane.
What is the main point about INT?,,298 INT.
Who or what is MEHRABAD AIRPORT - FLIGHT GATE - MORNING?,,MEHRABAD AIRPORT - FLIGHT GATE - MORNING 298 Azizi and the three Komiteh from the third checkpoint stand up from the table with the Argo storyboards.
Who or what is Komiteh?,,MEHRABAD AIRPORT - FLIGHT GATE - MORNING 298 Azizi and the three Komiteh from the third checkpoint stand up from the table with the Argo storyboards.
What is the main point about MEHRABAD?,,MEHRABAD AIRPORT - FLIGHT GATE - MORNING 298 Azizi and the three Komiteh from the third checkpoint stand up from the table with the Argo storyboards.
Who or what is Komiteh?,,"Young Komiteh shouts at them and they take up their weapons and join him, running -- Azizi and the three Komiteh arrive"
Who or what is Azizi?,,"Young Komiteh shouts at them and they take up their weapons and join him, running -- Azizi and the three Komiteh arrive at Flight 363's gate."
Who or what is Komiteh?,,"Young Komiteh shouts at them and they take up their weapons and join him, running -- Azizi and the three Komiteh arrive"
What is the main point about Young?,,"Young Komiteh shouts at them and they take up their weapons and join him, running -- Azizi and the three Komiteh arrive at Flight 363's gate."
Who or what is CLOSED?,,The door is CLOSED.
What is the main point about door?,,The door is CLOSED.
What is the main point about INT?,,299 INT.
Who or what is SWISSAIR?,,SWISSAIR DC-10 - MORNING 299 The Houseguests put their carry-on luggage into the overhead bins.
What is the main point about SWISSAIR?,,SWISSAIR DC-10 - MORNING 299 The Houseguests put their carry-on luggage into the overhead bins.
What is the main point about FLIGHT?,,A FLIGHT ATTENDANT is already holding a detached seatbelt preparing to do her safety mime.
Who or what is V.O.?,,"PILOT (V.O.) (GERMAN-ACCENTED ENGLISH) Ladies and gentlemen, from the flight-deck."
What is the main point about PILOT?,,"PILOT (V.O.) (GERMAN-ACCENTED ENGLISH) Ladies and gentlemen, from the flight-deck."
Who or what is International Herald Tribunes?,,We're looking at a brief delay -- Passengers groan a bit as they read paperbacks or International Herald Tribunes.
What is the main point about delay?,,We're looking at a brief delay -- Passengers groan a bit as they read paperbacks or International Herald Tribunes.
Who or what is Mark Lijek's?,,Mark Lijek's arm is around Cora.
Who or what is Cora?,,Mark Lijek's arm is around Cora.
What is the main point about Mark?,,Mark Lijek's arm is around Cora.
Who or what is Lee Schatz?,,Lee Schatz is moving his mouth in what looks like a prayer.
What is the main point about Lee?,,Lee Schatz is moving his mouth in what looks like a prayer.
Who or what is Kathy Stafford's?,,Kathy Stafford's fingers shake as she holds an arm rest.
What is the main point about Kathy?,,Kathy Stafford's fingers shake as she holds an arm rest.
What is the main point about J?,,J Stafford tries to stay her hand.
What is the main point about Mendez?,,Mendez is sitting looking out the window toward the terminal.
Who or what is INT?,,300 INT.
What is the main point about INT?,,300 INT.
Who or what is MEHRABAD AIRPORT - FLIGHT GATE - MORNING?,,"MEHRABAD AIRPORT - FLIGHT GATE - MORNING 300 Azizi yells to the Swissair Rep, dragging her back toward the gate."
Who or what is the Swissair Rep?,,"MEHRABAD AIRPORT - FLIGHT GATE - MORNING 300 Azizi yells to the Swissair Rep, dragging her back toward the gate."
